"No","Jenis","Parameter","Simbol","Satuan","Nilai_atau_Formula_Excel","Rumus_Umum","Keterangan"
"1","Input","Diameter kolam","D_tank","m","2","","Diameter kolam Gambiran"
"2","Perhitungan","Radius kolam","R_tank","m","=F2/2","D/2","Radius kolam"
"3","Input","Kedalaman air","H_water","m","0.74","","Kedalaman aktual kolam"
"4","Perhitungan","Volume kolam","V_tank","m3","=PI()*F3^2*F4","pi*r^2*h","Volume efektif kolam"
"5","Input","Diameter dalam lift tube","D_tube","m","0.076","","ID lift tube 76 mm"
"6","Input","Total flow path","L_total","m","1","","Total panjang lift tube + discharge pipe"
"7","Input","Kedalaman injeksi","h_inj","m","0.65","","Kedalaman diffuser dari permukaan/outlet"
"8","Input","Outlet depth","h_out","m","0.05","","Outlet 50 mm di bawah permukaan"
"9","Input","Debit udara","Qa_Lmin","L/min","71","","Data Wurts-Parker"
"10","Input","Debit air","Qw_Lmin","L/min","73.9","","Data Wurts-Parker"
"11","Konversi","Debit udara","Qa","m3/s","=F10/1000/60","Qa_Lmin/1000/60","Konversi L/min ke m3/s"
"12","Konversi","Debit air","Qw","m3/s","=F11/1000/60","Qw_Lmin/1000/60","Konversi L/min ke m3/s"
"13","Konversi","Debit udara","Qa_m3h","m3/jam","=F10*0.06","Qa_Lmin*0.06","Konversi ke m3/jam"
"14","Konversi","Debit air","Qw_m3h","m3/jam","=F11*0.06","Qw_Lmin*0.06","Konversi ke m3/jam"
"15","Perhitungan","Debit campuran","Qm_Lmin","L/min","=F10+F11","Qa+Qw","Debit campuran dalam L/min"
"16","Perhitungan","Debit campuran","Qm","m3/s","=F12+F13","Qa+Qw","Debit campuran dalam m3/s"
"17","Perhitungan","Debit campuran","Qm_m3h","m3/jam","=F14+F15","Qa+Qw","Debit campuran dalam m3/jam"
"18","Perhitungan","Rasio air terhadap udara","R_w_a","-","=F11/F10","Qw/Qa","Rasio data eksperimen"
"19","Perhitungan","Luas penampang tube","A_tube","m2","=PI()*F6^2/4","pi*D^2/4","Luas lift tube"
"20","Perhitungan","Void fraction homogen","alpha","-","=F12/F17","Qa/(Qa+Qw)","Model no-slip"
"21","Input","Densitas air","rho_w","kg/m3","1000","","Densitas air tawar"
"22","Input","Densitas udara","rho_a","kg/m3","1.2","","Densitas udara"
"23","Perhitungan","Densitas campuran","rho_m","kg/m3","=(1-F21)*F22+F21*F23","(1-alpha)*rho_w+alpha*rho_a","Densitas campuran homogen"
"24","Input","Viskositas air","mu_w","Pa.s","0.001","","Viskositas air"
"25","Input","Gravitasi","g","m/s2","9.80665","","Konstanta gravitasi"
"26","Perhitungan","Kecepatan air ekuivalen","v_w","m/s","=F13/F20","Qw/A","Kecepatan air saja"
"27","Perhitungan","Kecepatan campuran","v_m","m/s","=F17/F20","Qm/A","Kecepatan campuran/discharge terendam"
"28","Perhitungan","Reynolds air","Re_w","-","=F22*F27*F6/F25","rho*v*D/mu","Reynolds berbasis air"
"29","Perhitungan","Reynolds campuran","Re_m","-","=F24*F28*F6/F25","rho_m*v_m*D/mu","Estimasi homogen"
"30","Input","Darcy friction factor","f","-","0.026","","Asumsi PVC turbulen ringan"
"31","Perhitungan","Friction head campuran","hf_mix","m","=F31*(F7/F6)*(F28^2/(2*F26))","f*(L/D)*(v^2/2g)","Head loss berbasis fluida campuran"
"32","Perhitungan","Friction pressure drop","dP_f","Pa","=F24*F26*F32","rho_m*g*hf","Friction pressure drop"
"33","Perhitungan","Friction pressure drop","dP_f_mmH2O","mmH2O","=F33/F26","dP/g","Pressure-equivalent mmH2O"
"34","Input","K elbow 90 derajat","K_elbow","-","0.75","","Koefisien minor loss elbow"
"35","Input","K outlet","K_outlet","-","1","","Koefisien outlet terendam"
"36","Perhitungan","Elbow head campuran","h_elbow_mix","m","=F35*(F28^2/(2*F26))","K*v^2/2g","Head loss elbow"
"37","Perhitungan","Elbow pressure drop","dP_elbow","Pa","=F24*F26*F37","rho_m*g*h","Pressure drop elbow"
"38","Perhitungan","Elbow pressure drop","dP_elbow_mmH2O","mmH2O","=F38/F26","dP/g","Pressure-equivalent mmH2O"
"39","Perhitungan","Outlet head campuran","h_out_mix","m","=F36*(F28^2/(2*F26))","K*v^2/2g","Head loss outlet"
"40","Perhitungan","Outlet pressure drop","dP_outlet","Pa","=F24*F26*F40","rho_m*g*h","Pressure drop outlet"
"41","Perhitungan","Outlet pressure drop","dP_outlet_mmH2O","mmH2O","=F41/F26","dP/g","Pressure-equivalent mmH2O"
"42","Perhitungan","Total pressure drop tube","dP_tube","Pa","=F33+F38+F41","friction+elbow+outlet","Total pressure drop tube"
"43","Perhitungan","Total pressure drop tube","dP_tube_mmH2O","mmH2O","=F43/F26","dP/g","Pressure-equivalent mmH2O"
"44","Input","Target pressure drop diffuser","dP_diff_target_mmH2O","mmH2O","50","","Target distribusi udara"
"45","Konversi","Target pressure drop diffuser","dP_diff_target","Pa","=F45*F26","mmH2O*g","Konversi ke Pa"
"46","Input","Discharge coefficient","Cd","-","0.65","","Koefisien orifice"
"47","Input","Diameter lubang diffuser","d_hole","m","0.001","","Diameter lubang 1 mm"
"48","Perhitungan","Luas 1 lubang diffuser","A_hole","m2","=PI()*F48^2/4","pi*d^2/4","Luas 1 orifice"
"49","Perhitungan","Luas total diffuser perlu","A_diff_required","m2","=F12/(F47*SQRT(2*F46/F23))","Q/(Cd*sqrt(2dP/rho))","Luas total untuk target dP"
"50","Perhitungan","Jumlah lubang teoritis","N_theory","buah","=F50/F49","A_total/A_hole","Jumlah lubang teoritis"
"51","Perhitungan","Jumlah lubang dibulatkan","N_round","buah","=ROUNDUP(F51;0)","roundup(N)","Pembulatan ke atas"
"52","Input","Jumlah lubang terpilih","N_selected","buah","85","","Desain final"
"53","Perhitungan","Luas total aktual diffuser","A_diff_actual","m2","=F53*F49","N*A_hole","Luas total aktual"
"54","Perhitungan","Debit diffuser aktual pada target dP","Q_diff_actual","m3/s","=F47*F54*SQRT(2*F46/F23)","Cd*A*sqrt(2dP/rho)","Debit udara aktual"
"55","Perhitungan","Debit diffuser aktual","Q_diff_actual_Lmin","L/min","=F55*60000","Q*60000","Konversi m3/s ke L/min"
"56","Perhitungan","Pressure drop diffuser aktual","dP_diff_actual","Pa","=F23/2*(F12/(F47*F54))^2","rho/2*(Q/(Cd*A))^2","dP aktual untuk Qa target"
"57","Perhitungan","Pressure drop diffuser aktual","dP_diff_actual_mmH2O","mmH2O","=F57/F26","dP/g","Pressure-equivalent mmH2O"
"58","Perhitungan","Tekanan start-up","P_start_mmH2O","mmH2O","=F8*1000","h_inj*1000","Hydrostatic head air"
"59","Perhitungan","Tekanan start-up","P_start","Pa","=F59*F26","mmH2O*g","Konversi ke Pa"
"60","Perhitungan","Tekanan operasi total","P_oper","Pa","=F60+F43+F57","P_start+dP_tube+dP_diff","Tekanan operasi konservatif"
"61","Perhitungan","Tekanan operasi total","P_oper_mmH2O","mmH2O","=F61/F26","P/g","Konversi ke mmH2O"
"62","Input","Margin desain tekanan","SF_pressure","-","1.2","","Margin fouling/variasi"
"63","Perhitungan","Tekanan desain blower","P_design_mmH2O","mmH2O","=F62*F63","P_oper*SF","Tekanan desain blower"
"64","Perhitungan","Tekanan desain blower","P_design","Pa","=F64*F26","mmH2O*g","Konversi ke Pa"
"65","Perhitungan","Daya udara","P_air","W","=F12*F61","Qa*dP","Daya pneumatik operasi"
"66","Input","Efisiensi blower","eta_blower","-","0.4","","Asumsi efisiensi blower"
"67","Perhitungan","Daya listrik teoritis","P_elec","W","=F66/F67","P_air/eta","Daya teoritis minimum"
"68","Output","Daya blower rekomendasi minimum","P_blower_min","W","30","","Rekomendasi praktis"
"69","Output","Daya blower rekomendasi maksimum","P_blower_max","W","60","","Rekomendasi praktis"
"70","Input","Surface tension air","sigma","N/m","0.072","","Air bersih"
"71","Perhitungan","Diameter bubble estimasi","d_bubble","m","=((6*F71*F48)/(F26*(F22-F23)))^(1/3)","((6*sigma*d)/(g*(rho_w-rho_a)))^(1/3)","Estimasi bubble Fritz sederhana"
"72","Perhitungan","Diameter bubble estimasi","d_bubble_mm","mm","=F72*1000","d*1000","Estimasi mm"
"73","Perhitungan","Waktu kontak","t_contact","s","=F7/F28","L/v_m","Waktu kontak dalam flow path"
"74","Perhitungan","Laju massa campuran","m_dot","kg/s","=F24*F17","rho_m*Qm","Laju massa campuran"
"75","Perhitungan","Momentum discharge","M","N","=F75*F28","m_dot*v","Estimasi gaya momentum"
"76","Perhitungan","Turnover kolam","TR","1/jam","=F15/F5","Qw_m3h/V_tank","Turnover hidrolik"
"77","Perhitungan","Rasio diffuser terhadap tube","R_diff_tube","-","=F58/F34","dP_diff/dP_friction","Rasio pressure drop diffuser terhadap friction tube"
"78","Output","Status distribusi diffuser","Status","-","=IF(F78>=5;""Aman"";""Perlu evaluasi header/diffuser"")","dP_diff/dP_header","Rule praktis jika dibandingkan variasi header"
